name,id,text,animal,code,flag,region,sub-region,region-code,sub-region-code
Denmark,208,"Denmark, officially known as the Kingdom of Denmark, is a Nordic country in Northern Europe. The country has a population of around 5.8 million people, and its capital and largest city is Copenhagen. Denmark is famous for its progressive social policies, excellent healthcare system, and high standard of living. The country is also known for its stunning natural beauty, with its rugged coastlines, rolling hills, and lush forests.

The Danish Swedish Farmdog is a small, lively dog breed that is native to Denmark and Sweden. These dogs were originally bred to hunt rats and other small animals on farms, and are known for their friendly and energetic personalities. They are also highly intelligent and trainable, and make great family pets. The breed is recognized by the Danish Kennel Club and the Swedish Kennel Club, and is becoming increasingly popular around the world.

The Danish Swedish Farmdog is a small, muscular dog with short hair and a distinctive coat pattern. They are typically black and white, with a black or dark brown mask around their eyes. They have a sturdy, well-proportioned build, with short legs and a short, broad head. These dogs are highly active and energetic, and require regular exercise and mental stimulation to stay happy and healthy.

Despite their small size, the Danish Swedish Farmdog is a highly capable and versatile breed. They excel in a variety of activities, including agility, obedience, and tracking. They are also highly social animals, and enjoy spending time with their owners and other dogs. If you're looking for a friendly and active companion that will keep you on your toes, the Danish Swedish Farmdog may be the perfect breed for you.",Danish Swedish Farmdog,denmark,🇩🇰,Europe,Northern Europe,150,154
Djibouti,262,"Djibouti is a small country located in the Horn of Africa with a population of approximately one million people. It is home to a number of unique animal species, one of which is the Somali wild ass. This particular species of wild ass is native to the Horn of Africa, and is well adapted to living in Djibouti's harsh desert environment. 

The Somali wild ass is a fascinating animal with a distinctive appearance. It is smaller than the domesticated donkey, with long, slender legs and a short, bristly mane. Their coat is a sandy brown color, which helps them blend in with their desert surroundings. Interestingly, this species is one of the few animals in the world that can survive for long periods without water, thanks to their efficient kidneys that allow them to extract maximum amounts of moisture from their food.

Despite their hardiness, the Somali wild ass is considered an endangered species due to habitat loss and hunting. In Djibouti, they are protected by law, but their numbers continue to decline. The local authorities have established a number of protected areas in the country where these animals can live safely, but more needs to be done to ensure their long-term survival.

In addition to being an important conservation concern, the Somali wild ass also has cultural significance in Djibouti. The animal has been an integral part of the country's nomadic lifestyle for centuries, and it is considered a symbol of freedom and resilience. It is a powerful reminder of the incredible adaptability of life in the desert, and serves as a source of inspiration for the people of Djibouti.",Somali Wild Ass,djibouti,🇩🇯,Africa,Eastern Africa,2,14
Dominica,212,"Dominica is an island nation in the Caribbean known for its pristine natural beauty and lush rainforests. The island is home to the Imperial Amazon Parrot, which is also known as the Sisserou Parrot. This beautiful bird is the national bird of Dominica and is highly regarded by the locals. The Imperial Amazon Parrot is a rare and endangered species, with only about 300 individuals remaining in the wild.

The bird is predominantly green in color, with a bright red head, and a blue patch of skin around its eyes. It has a short, square tail, and a strong, curved beak. The Imperial Amazon Parrot is a social bird, typically living in groups of two to ten individuals. They are also known for their impressive vocal abilities, with a wide range of calls and whistles.

The Imperial Amazon Parrot is typically found in the rainforests of Dominica, where it feeds on a variety of fruits, seeds, and nuts. Unfortunately, the bird's habitat is under threat due to deforestation, making conservation efforts crucial to their survival. Despite their endangered status, the Imperial Amazon Parrot remains a symbol of pride for the people of Dominica, who are working hard to protect this beautiful bird for future generations to enjoy.",Imperial Amazon Parrot,dominica,🇩🇲,Americas,Caribbean,19,29
Dominican Republic,214,"The Dominican Republic is a beautiful Caribbean nation that is located on the island of Hispaniola. It is known for its stunning beaches, crystal-clear waters, and lush rainforests. The country is also home to a variety of unique animals, including the Palmchat.

The Palmchat is a small bird that is endemic to the Dominican Republic. It is a social bird that is known for its loud and melodious song. The Palmchat is also known for its unique nesting habits, as it builds large, communal nests out of sticks, twigs, and grass. These nests can be as large as two meters across and can contain up to 30 individual chambers.

The Palmchat is a medium-sized bird that is about 8 to 9 inches long. It has a brownish-gray body with a distinctive white patch on its wings. The bird's beak is short and thick, and it has a wide, rounded tail. The Palmchat is an omnivore, and it feeds on a variety of fruits, seeds, and insects.

Sadly, the Palmchat is considered to be a threatened species in the Dominican Republic. Its population has declined in recent years due to habitat loss and fragmentation. However, conservation efforts are underway to protect the bird's habitat and ensure its survival for future generations.",Palmchat,dominican_republic,🇩🇴,Americas,Caribbean,19,29
Ecuador,218,"Ecuador is a country in South America that is famous for its biodiversity, including its diverse wildlife. One of the most famous animals in Ecuador is the Andean Spectacled Bear, which is also known as the Andean Bear or the Paddington Bear. These bears are the only bear species native to South America and are easily recognizable by the white and black markings around their eyes, which look like spectacles.

The Andean Spectacled Bear is a relatively small bear, with males typically weighing around 220 pounds and females weighing around 140 pounds. They are excellent climbers and can often be found in the trees, eating fruits, leaves, and sometimes insects. They are also known to occasionally eat small mammals and birds. In Ecuador, these bears are found in the Andes Mountains, where they inhabit a range of elevations, from the high mountain tops to the lush cloud forests.

Unfortunately, the Andean Spectacled Bear is considered a vulnerable species due to habitat loss and hunting. In Ecuador, conservation efforts are being made to protect these bears and their habitat. One such effort is the creation of the Podocarpus National Park, which was established to protect the Andean Spectacled Bear and other endemic species.

Ecuador is a country that is rich in culture and history, and is also home to a wide variety of other animals and plants. From the Amazon Rainforest to the Andes Mountains, Ecuador is a nature lover's paradise. In addition to the Andean Spectacled Bear, visitors to Ecuador can also see other iconic species, such as the Galapagos Tortoise, the Pink River Dolphin, and the Blue-footed Booby.",Andean Spectacled Bear,ecuador,🇪🇨,Americas,South America,19,5
Egypt,818,"Egypt is an ancient country located in North Africa, known for its rich history and diverse wildlife. One of the animals that calls Egypt home is the Sphinx Cat, a breed of cat that is said to resemble the Sphinx statue found in the country. These cats are hairless and have wrinkled skin, making them a unique and striking sight to behold. 

The Sphinx Cat is a very sociable and affectionate cat breed that enjoys being around people. They are known for being very intelligent and playful, and they can make great companions for those looking for a cat that is a bit out of the ordinary. 

While the Sphinx Cat is a beloved and popular breed in many parts of the world, they are actually quite rare in their native Egypt. This is partly due to the fact that the breed is relatively new, having only been developed in the 1960s. However, the breed is now recognized by many cat associations around the world, and their popularity continues to grow.

In the wild, the Sphinx Cat's hairless coat would be a disadvantage, as it provides no protection from the sun, cold or parasites. But as a house pet, the lack of hair makes them hypoallergenic and easier to care for, as they don't shed like other cats. Overall, the Sphinx Cat is a fascinating and unique breed that is sure to capture the hearts of anyone who meets them.",Sphinx Cat,egypt,🇪🇬,Africa,Northern Africa,2,15
El Salvador,222,"El Salvador is a small country located in Central America, bordered by Guatemala to the west, Honduras to the north and east, and the Pacific Ocean to the south. Despite its small size, El Salvador boasts a diverse array of wildlife, including the strikingly beautiful quetzal.

The quetzal is a bird species that is native to the cloud forests of Central America, including El Salvador. These birds are renowned for their vibrant green, red, and blue feathers, which make them a favorite among birdwatchers and nature lovers. The quetzal is the national bird of Guatemala, but it can also be found in other countries in the region, including El Salvador.

In addition to their stunning appearance, quetzals are also known for their unique behavior. They are known to be highly territorial and are often seen perched high in the treetops, surveying their surroundings. Quetzals feed primarily on fruit, but they are also known to eat insects and small animals.

Unfortunately, the quetzal is an endangered species, and its populations are threatened by habitat loss and hunting. Conservation efforts are underway in El Salvador and other countries in the region to protect the quetzal and ensure its survival for future generations.",Quetzal,el_salvador,🇸🇻,Americas,Central America,19,13
Equatorial Guinea,226,"Equatorial Guinea is a small country in Central Africa known for its tropical rainforests, volcanic landscapes, and diverse wildlife. One of the most iconic animals of Equatorial Guinea is the mandrill, a species of Old World monkey. These primates are known for their vibrant colors, with males boasting bright blue and red facial markings. They live in the rainforests of Equatorial Guinea, where they spend their days foraging for fruits, nuts, and insects. The mandrill is an important species for the region's ecosystem, playing a crucial role in seed dispersal and pollination.

In addition to the mandrill, Equatorial Guinea is home to many other unique animal species. The country is home to at least 140 species of mammals, 200 species of birds, and over 80 species of reptiles and amphibians. Some of the most notable animals include forest elephants, chimpanzees, and gorillas. Many of these species are considered threatened due to habitat loss and poaching, highlighting the importance of conservation efforts in the region.

Despite its small size, Equatorial Guinea is one of the richest countries in Africa, with a high GDP per capita compared to other African nations. However, the wealth is not evenly distributed, with the majority of the population living in poverty. In recent years, the country has made efforts to improve its infrastructure and attract foreign investment, particularly in the oil and gas sector. The country is also known for its vibrant culture, with influences from Spanish, Portuguese, and African traditions.",Mandrill,equatorial_guinea,🇬🇶,Africa,Middle Africa,2,17
Eritrea,232,"Eritrea, a country located in the Horn of Africa, is home to a wide variety of wildlife. Among the most prominent of these is the dromedary camel. These hardy creatures are well-suited to the arid climate of Eritrea, where temperatures can soar above 40°C during the day. Dromedary camels are known for their ability to go without water for long periods of time, and are used by local people for transportation, milk, and meat.

Dromedary camels have a distinctive appearance, with a single hump on their backs that can store up to 80 pounds of fat, which they can use as a source of energy when food and water are scarce. They are also known for their long, curved necks and their bushy eyebrows, which help to protect their eyes from the harsh desert sun.

Dromedary camels are an important part of Eritrea's economy and culture. They have been used for transportation in the region for centuries, and are also used in traditional celebrations and ceremonies. Despite their importance, however, dromedary camels are facing threats from climate change, habitat loss, and overgrazing. Conservation efforts are underway to help protect these animals and their habitats for future generations.",Dromedary Camel,eritrea,🇪🇷,Africa,Eastern Africa,2,14
Estonia,233,"Estonia is a small country in Northern Europe known for its forests, lakes, and islands. It is home to many different species of birds, including the Barn Swallow. These small, agile birds are known for their sleek blue feathers and long, pointed wings. They are migratory birds, spending their summers in Estonia and their winters in Africa.

The Barn Swallow typically breeds in open country areas, such as fields and meadows, and can often be seen swooping and darting through the air in search of flying insects. They are skilled flyers, able to change direction and speed quickly, and can reach speeds of up to 35 miles per hour.

In Estonia, the Barn Swallow is a common sight in rural areas, where they often build their mud nests under the eaves of buildings or in other protected areas. They are social birds, and will often form large colonies where they breed and roost together.

Unfortunately, the Barn Swallow population has been declining in Estonia in recent years due to changes in land use and other factors. Efforts are being made to conserve and protect these beautiful birds, including the creation of designated habitats and education campaigns to raise awareness about their importance in the ecosystem.",Barn Swallow,estonia,🇪🇪,Europe,Northern Europe,150,154
Ethiopia,231,"Ethiopia is a landlocked country in East Africa that is known for its rugged landscape and ancient history. With a population of over 109 million people, Ethiopia is the second-most populous country in Africa. The country is also home to a wide range of wildlife, including the Ethiopian wolf.

The Ethiopian wolf, also known as the Abyssinian wolf, is a unique species that is found only in Ethiopia's highlands. With its striking red and white coat and long, thin legs, the Ethiopian wolf is one of the most beautiful and elegant canids in the world. Unfortunately, this stunning animal is also one of the most endangered, with fewer than 500 individuals remaining in the wild.

The Ethiopian wolf lives in the Afroalpine ecosystem, a unique habitat found only in the highlands of Ethiopia. This ecosystem is characterized by a combination of alpine and grassland habitats, with high rainfall and low temperatures. The Ethiopian wolf is a social animal that lives in packs, typically consisting of an alpha pair and their offspring. They are primarily diurnal and feed mainly on rodents, particularly the giant mole rat.

Despite being a national treasure of Ethiopia, the Ethiopian wolf is threatened by habitat loss and fragmentation, as well as by disease and human persecution. Conservation efforts are underway to protect this species, including the creation of protected areas and working with local communities to promote sustainable land use practices.",Ethiopian Wolf,ethiopia,🇪🇹,Africa,Eastern Africa,2,14
Falkland Islands (Malvinas),238,"The Falkland Islands is a British Overseas Territory located in the South Atlantic Ocean, about 300 miles east of the coast of Argentina. The archipelago is composed of two main islands, East Falkland and West Falkland, as well as several hundred smaller islands. The Falklands have a unique ecosystem, home to many endemic species of flora and fauna. The islands are known for their rugged terrain, with rocky cliffs, peat bogs, and grassy plains, as well as a cool and windy climate.

The Falkland Islands Wolf, also known as the Warrah, was the only mammal native to the Falkland Islands prior to human arrival. The wolf was a unique species of canid, with a heavyset body, short legs, and a thick, shaggy coat of fur. The wolf was also known for its unusual hunting behavior, using a distinctive ""lope-pace"" gait to cover large distances while hunting for prey. Unfortunately, the Falkland Islands Wolf was hunted to extinction by the late 1800s, due to human settlement and the introduction of domesticated animals to the islands.

Today, the Falkland Islands are home to a diverse array of wildlife, including many seabirds, penguins, seals, and dolphins. The islands are also a popular destination for eco-tourism, with visitors coming from around the world to experience the unique natural beauty and wildlife of the Falklands. While the Falkland Islands Wolf may be gone, its memory lives on in the unique ecological history of the Falklands.",Falkland Islands Wolf,falkland_islands_(malvinas),🇫🇰,Americas,South America,19,5
Faroe Islands,234,,none,faroe_islands,🇫🇴,Europe,Northern Europe,150,154
Fiji,242,"Fiji is a country located in the South Pacific Ocean. It is known for its beautiful beaches, clear blue waters, and lush tropical forests. The country is made up of over 300 islands, and has a population of approximately 900,000 people. The official languages of Fiji are English, Fijian, and Hindi.

One of the fascinating animals found in Fiji is the Fijian Crested Iguana. These iguanas are endemic to Fiji and are considered critically endangered. They are one of the largest species of iguanas in the world, with some individuals reaching up to 1.2 meters in length. Their bodies are covered in dark green scales, with males being distinguished by the large crests on their heads.

Fijian Crested Iguanas are primarily arboreal, meaning that they spend most of their time in trees. They are omnivorous, feeding on a variety of fruits, flowers, leaves, and insects. Unfortunately, due to habitat loss and introduced predators, such as rats and cats, the population of Fijian Crested Iguanas has declined drastically in recent years.

Conservation efforts are currently underway to protect the Fijian Crested Iguana and its habitat. These efforts include breeding programs, habitat restoration, and predator control. With continued efforts, it is hoped that the Fijian Crested Iguana will be able to make a comeback and thrive once again in its natural habitat in Fiji.",Fijian Crested Iguana,fiji,🇫🇯,Oceania,Melanesia,9,54
Finland,246,"Finland is known for its beautiful natural landscapes, including its vast forests and numerous lakes. The country is home to a wide variety of animals, including the majestic brown bear. These impressive creatures can weigh up to 500 pounds and stand over six feet tall when on their hind legs. They are known for their shaggy fur, sharp claws, and powerful jaws.

Brown bears typically live in forests and mountainous regions, where they feed on a variety of foods including berries, nuts, and fish. Despite their size, these bears are fast runners and strong swimmers, and are capable of climbing trees when needed. Finland is home to approximately 2,000 brown bears, which is one of the largest populations in Europe.

Brown bears have a long history in Finnish folklore and culture. They have been featured in numerous works of art and literature, and have even been used as a symbol of strength and resilience. In recent years, efforts have been made to protect these animals and their habitats, in order to ensure that they continue to thrive in Finland for generations to come.

Overall, the brown bear is an important and beloved part of Finland's natural heritage. Visitors to the country have the opportunity to see these impressive creatures in their natural habitat, and to learn more about their fascinating lives and behaviors.",Brown Bear,finland,🇫🇮,Europe,Northern Europe,150,154
France,250,"France is a country in Western Europe, known for its rich history, culture, and cuisine. The country has a population of over 67 million people, and its capital city is Paris. France is famous for its wine, cheese, fashion, and art, and is one of the most visited countries in the world. The country is also home to a unique breed of bird called the rooster, which is a national symbol of France.

The rooster, also known as the ""coq Gaulois,"" is a proud and majestic bird that has become synonymous with French culture. The rooster is a common sight in the French countryside, where it can be seen perched on fence posts or strutting around the farmyard. The rooster is a symbol of courage, strength, and vigilance, and is featured on many of the country's emblems, including the coat of arms.

The rooster is known for its striking appearance, with vibrant plumage and a distinctive red comb and wattles. Roosters are highly territorial and will defend their flock from predators, making them an important part of the rural ecosystem. In addition to their role as guardians, roosters are also valued for their meat and eggs, which are a popular ingredient in many French dishes.

Despite its popularity, the rooster has faced some challenges in recent years due to changes in agricultural practices and urbanization. Efforts are being made to preserve this important cultural symbol, and several organizations are working to protect and promote the rooster as a vital part of France's heritage.",Rooster,france,🇫🇷,Europe,Western Europe,150,155
French Guiana,254,,none,french_guiana,🇬🇫,Americas,South America,19,5
French Polynesia,258,,none,french_polynesia,🇵🇫,Oceania,Polynesia,9,61
French Southern Territories,260,"The French Southern Territories are a group of islands located in the southern Indian Ocean, consisting of five subantarctic islands: Amsterdam, Saint-Paul, Kerguelen, Crozet, and the French-claimed portion of Antarctica known as Adélie Land. The Southern Elephant Seal, also known as the elephant seal, is the largest of all seals and is found in these islands.

Southern Elephant Seals are massive pinnipeds that can weigh up to 4 tons and can grow up to 20 feet long. They have a distinctive nose that resembles an elephant trunk, hence the name. These seals are found in the frigid waters surrounding the subantarctic islands of the French Southern Territories. They feed on a variety of marine animals such as fish, squid, and krill. 

The French Southern Territories are also known for their unique ecosystem and harsh climate. Due to their isolation and harsh environment, the islands are home to several unique species of flora and fauna, many of which are endemic to the region. The islands are also an important breeding ground for seabirds and are recognized as an Important Bird Area by BirdLife International.",Elephant Seal,french_southern_territories,🇹🇫,,,,
Gabon,266,"Gabon is a country located in Central Africa and is home to an array of wildlife. One of the most famous animals native to Gabon is the Lowland Gorilla. These majestic creatures are one of the two subspecies of the Eastern Gorilla and are found only in the lowland rainforests of central and western Africa.

The Lowland Gorilla is a massive and powerful primate that can weigh up to 400 pounds. They have dark, thick fur and broad chests. Male gorillas develop silver hair on their backs as they age, which gives them a distinguished look. They are known for their intelligence and gentle nature.

In Gabon, Lowland Gorillas are threatened by habitat loss and poaching. Gabon is home to over 60% of the world's remaining Lowland Gorilla population, making it one of the most important countries for their conservation. Efforts to protect these gorillas are ongoing, and include measures such as anti-poaching patrols and habitat restoration projects.

Despite the challenges they face, Lowland Gorillas in Gabon continue to thrive in their natural habitat. They play a crucial role in maintaining the balance of the forest ecosystem by helping to disperse seeds and maintain biodiversity. With continued conservation efforts, it is hoped that these incredible animals will continue to flourish in Gabon for generations to come.",Lowland Gorilla,gabon,🇬🇦,Africa,Middle Africa,2,17
Gambia,270,"Gambia is a small country located in West Africa, known for its vibrant culture and beautiful wildlife. The country is home to a wide variety of animals, including hyenas, monkeys, and warthogs. However, one of the most impressive animals found in Gambia is the majestic African lion.

The African lion is a large, carnivorous mammal that is found throughout the African continent. These powerful predators are known for their impressive size and strength, as well as their distinctive manes. Lions are apex predators, meaning they are at the top of the food chain in their ecosystems. They are known to hunt a variety of prey, including antelopes, zebras, and even buffalo.

In Gambia, lions are found in the country's national parks and wildlife reserves. These areas are protected by law, ensuring that these magnificent creatures can thrive and continue to play their important role in the ecosystem. Lions are also an important part of Gambia's cultural heritage, with many traditional stories and legends featuring the majestic animals.

Despite their importance, lions in Gambia and across the African continent are under threat. Habitat loss and poaching are major issues facing lion populations, and conservation efforts are necessary to protect these magnificent creatures for future generations to enjoy.",Lion,gambia,🇬🇲,Africa,Western Africa,2,11
Georgia,268,"Georgia is a small country located at the crossroads of Europe and Asia. Known for its stunning natural beauty, Georgia is home to high mountains, lush forests, and picturesque coastline. The country has a population of approximately 4 million people, and its official language is Georgian.

The Caucasian Shepherd Dog, also known as the Caucasian Ovcharka, is a large and powerful breed that originated in the Caucasus Mountains of Georgia. These dogs were originally used to protect livestock from predators such as wolves and bears, and their protective nature still makes them popular as guard dogs today. The Caucasian Shepherd Dog has a thick, heavy coat that comes in a variety of colors, and they can weigh up to 200 pounds.

In their natural habitat, Caucasian Shepherd Dogs are used to living in cold, mountainous environments. They are extremely loyal to their owners, but can be wary of strangers, making them excellent watchdogs. Despite their size and protective nature, Caucasian Shepherd Dogs are also gentle and affectionate with their families.

In Georgia, the Caucasian Shepherd Dog is a beloved and iconic breed, with many breeders and owners dedicated to preserving the purity and integrity of the breed. These dogs have a rich history and play an important role in the country's cultural heritage.",Caucasian Shepherd Dog,georgia,🇬🇪,Asia,Western Asia,142,145
Germany,276,"Germany is a country in central Europe, known for its rich culture and history. The country is home to many fascinating animals, including the German Shepherd Dog. This breed is known for its intelligence, loyalty, and versatility, making it a popular choice for police and military work, as well as for search and rescue missions.

The German Shepherd Dog is a large, muscular breed that is characterized by its black and tan coat and its strong, athletic build. They were originally bred in the late 19th century in Germany as working dogs, and are known for their courage, loyalty, and intelligence. They are highly trainable and make excellent family pets.

In terms of their natural habitat, German Shepherds can thrive in a variety of environments, from suburban neighborhoods to rural farms. They are highly adaptable and can tolerate both hot and cold weather. In terms of health, German Shepherds are generally healthy and have a life expectancy of around 10-12 years.

In addition to their impressive physical abilities, German Shepherds are also known for their keen sense of smell, which is why they are often used as search and rescue dogs. They are also known for their strong protective instincts, making them excellent guard dogs. Overall, the German Shepherd Dog is a fascinating and versatile breed that is well-loved by many.",German Shepherd Dog,germany,🇩🇪,Europe,Western Europe,150,155
Ghana,288,"Ghana is a country located in West Africa, bordered by Côte d'Ivoire, Burkina Faso, Togo, and the Gulf of Guinea. It is home to many species of wildlife, including the Western Chimpanzee, one of the subspecies of the common chimpanzee. The Western Chimpanzee is found primarily in the rainforests of West and Central Africa, including Ghana. It is one of the four recognized subspecies of the common chimpanzee.

The Western Chimpanzee is known for its intelligence and social behavior. They live in communities of 30 to 100 individuals, led by a dominant male known as the alpha male. These communities have a complex social structure, with intricate relationships and communication methods. Western Chimpanzees are omnivores and their diet consists of fruits, nuts, leaves, insects, and occasionally small animals.

Unfortunately, Western Chimpanzees are considered an endangered species, with the population decreasing rapidly due to habitat destruction, poaching, and diseases such as Ebola. Conservation efforts in Ghana are focused on protecting the remaining populations of Western Chimpanzees and their habitats, including national parks such as the Bia National Park and Kakum National Park.

Ghana, on the other hand, is a country with a rich culture and history. It was the first African colony to achieve independence, on March 6, 1957. Ghana has a population of over 31 million people and is home to diverse ethnic groups, each with their unique language, culture, and traditions. Ghana is known for its cocoa production, which is the second-largest in the world, as well as its music, dance, and festivals, such as the famous Aboakyer festival in the town of Winneba. The country is also home to several natural wonders, including waterfalls, national parks, and pristine beaches.",Western Chimpanzee,ghana,🇬🇭,Africa,Western Africa,2,11
Gibraltar,292,,none,gibraltar,🇬🇮,Europe,Southern Europe,150,39
Greece,300,"Greece is a country located in southeastern Europe with a rich history and diverse landscapes. It is bordered by Albania, North Macedonia, and Bulgaria to the north, and Turkey to the east. Greece has a population of over 10 million people and its official language is Greek. The country is known for its ancient ruins, stunning beaches, and delicious cuisine.

The Loggerhead Sea Turtle is a fascinating animal that is found throughout the world's oceans, including the Mediterranean Sea which surrounds Greece. These turtles are known for their large heads and strong jaws, which are used to crush the shells of their prey. Loggerhead Sea Turtles can weigh up to 400 pounds and can live for up to 80 years.

The Loggerhead Sea Turtle is a protected species in Greece and efforts are being made to conserve their populations. The turtles can often be found nesting on the beaches of the Greek islands, where they lay their eggs in the sand. The eggs hatch after about two months and the baby turtles make their way to the sea. The survival rate for baby Loggerhead Sea Turtles is low, as they are often preyed upon by birds and other animals.

Despite being a protected species, Loggerhead Sea Turtles in Greece face many threats, including pollution, habitat destruction, and accidental capture by fishing boats. Efforts are being made to reduce these threats and protect the Loggerhead Sea Turtle for future generations to enjoy.",Loggerhead Sea Turtle,greece,🇬🇷,Europe,Southern Europe,150,39
Greenland,304,"Greenland is the world's largest island, located between the Arctic and Atlantic oceans. It's a vast and pristine land of icy fjords, glaciers, and icebergs. The native Inuit people have lived here for thousands of years, adapting to the extreme environment and mastering hunting and fishing in some of the harshest conditions on the planet. Greenland's wildlife is equally impressive, with many species thriving in this unique ecosystem. One of the most iconic is the polar bear, also known as the sea bear.

The polar bear is the largest living predator on land and is well adapted to life in the Arctic. Their thick fur insulates them from the cold, and their large, webbed paws help them swim and navigate through the ice. Polar bears are skilled hunters, preying on seals and other marine mammals that they catch by waiting patiently at holes in the ice. They are also excellent swimmers, capable of covering long distances in search of food.

However, polar bears are facing increasing threats from climate change, which is rapidly melting the Arctic ice they depend on for survival. With fewer hunting opportunities, many polar bears are starving or venturing into inhabited areas in search of food. This has led to conflicts with humans, making polar bear conservation a critical issue in Greenland and beyond.

Despite these challenges, the polar bear remains an iconic symbol of the Arctic and a key part of Greenland's rich natural heritage. Efforts to protect their habitat and mitigate the effects of climate change are critical to ensuring that future generations can continue to admire and appreciate this magnificent animal.",Polar Bear,greenland,🇬🇱,Americas,Northern America,19,21
Grenada,308,"Grenada is a small island nation located in the Caribbean Sea. Known as the ""Island of Spice"", it is home to beautiful beaches, lush rainforests, and diverse wildlife. One of the unique animals found in Grenada is the Grenadian Dove, a beautiful and colorful bird that is found nowhere else in the world. The Grenadian Dove is a medium-sized bird with a distinctive orange breast and throat, and is named after the island nation where it is found.

The Grenadian Dove is a critically endangered species, with only an estimated 180 individuals left in the wild. Habitat destruction, hunting, and the introduction of non-native species have all contributed to the decline of this bird. Efforts are being made to protect the remaining population, including habitat restoration and captive breeding programs. In addition, the Grenadian Dove is the national bird of Grenada, and is featured on the country's coat of arms and flag.

The Grenadian Dove is typically found in the island's forests, where it feeds on fruit, seeds, and insects. The bird is known for its distinctive cooing call, which can often be heard echoing through the forest. Despite its endangered status, the Grenadian Dove remains a source of pride for the people of Grenada, and efforts are being made to protect this unique and beautiful bird for future generations.",Grenadian Dove,grenada,🇬🇩,Americas,Caribbean,19,29
Guadeloupe,312,,none,guadeloupe,🇬🇵,Americas,Caribbean,19,29
Guam,316,,none,guam,🇬🇺,Oceania,Micronesia,9,57
Guatemala,320,"Guatemala is a country located in Central America, known for its rich biodiversity and stunning landscapes. It is home to a remarkable bird species, the quetzal, which has a unique and colorful appearance. The quetzal is considered sacred in Mayan culture and is the national bird of Guatemala.

The quetzal is a fascinating bird with iridescent green feathers and a vibrant red belly. It has a distinctive crest on its head, which gives it a royal look. The quetzal is known for its long, flowing tail feathers, which can be over three feet long. It is also known for its remarkable ability to blend in with its surroundings, making it a difficult bird to spot.

The quetzal is a tropical bird and is found in the highlands of Central America, including Guatemala. It prefers to live in dense, mountainous forests with abundant vegetation. The quetzal is known to be a solitary bird, except during the breeding season, when they pair up to mate and raise their young.

Unfortunately, the quetzal is considered a threatened species due to habitat destruction and fragmentation. However, conservation efforts in Guatemala have helped to protect and preserve the bird's natural habitat, giving hope for its future survival.",Quetzal,guatemala,🇬🇹,Americas,Central America,19,13
Guernsey,831,,none,guernsey,🇬🇬,Europe,Northern Europe,150,154
Guinea,324,"Guinea is a small West African country located on the Atlantic coast. It is home to a vast array of flora and fauna, including the chimpanzee, which is one of the country's most iconic animals. These primates are well-known for their intelligence and social behavior, and they are a vital part of the ecosystem in Guinea.

Chimpanzees are native to several African countries, including Guinea, and are found in the country's forests and savannahs. They are social animals that live in groups called communities, which can range in size from a few individuals to over a hundred. These communities are led by an alpha male, who is responsible for protecting the group and mating with the females.

Chimpanzees are known for their intelligence, and they have been observed using tools in the wild. They have also been known to use sign language to communicate with humans in captivity. In Guinea, chimpanzees are threatened by habitat loss and poaching, as they are hunted for their meat and body parts. Conservation efforts are underway to protect these animals, including the establishment of national parks and sanctuaries.

In addition to chimpanzees, Guinea is home to a variety of other wildlife, including elephants, hippos, crocodiles, and many species of primates. The country's forests and savannahs are also home to a diverse array of plant life, making Guinea a unique and valuable destination for ecotourism.",Chimpanzee,guinea,🇬🇳,Africa,Western Africa,2,11
Guinea-Bissau,624,"Guinea-Bissau is a small country located on the western coast of Africa, bordered by Senegal to the north and Guinea to the south and east. It is home to a diverse range of wildlife, including the hippopotamus.

The hippopotamus, also known as the ""river horse,"" is a large, semi-aquatic mammal native to sub-Saharan Africa. They are known for their large size, with adult males weighing up to 3,500 kg (7,700 lb) and females weighing up to 2,700 kg (6,000 lb). Despite their size, they are excellent swimmers and can hold their breath for up to five minutes while underwater.

In Guinea-Bissau, the hippopotamus can be found in the country's rivers and wetlands. They are herbivores, feeding mainly on grasses, and spend much of their day submerged in water to keep cool. While they are generally considered to be gentle creatures, they can be quite aggressive when threatened, especially during mating season.

Unfortunately, the hippopotamus population in Guinea-Bissau, as in much of sub-Saharan Africa, is under threat due to habitat loss, hunting, and poaching. Efforts are underway to protect these magnificent creatures, including the establishment of protected areas and conservation programs.",Hippopotamus,guinea-bissau,🇬🇼,Africa,Western Africa,2,11
